[2026-04-23 09:51:53] Queue watcher started. Waiting on PID 20049 for current parity+NoPE+Ponder run.
[2026-04-23 11:24:54] Detected current NoPE run has finished. Launching parity+WPE-once+Ponder with n_steps=20.
Launching WPE-once Ponder run: {'task': 'parity', 'output_root': '/data/yizhou/looped-tf-length-generalization/models/wpe_once_baselines', 'seed': 42, 'beta': 0.01, 'prior_lambda': 0.2, 'dynamic_n': False, 'n_steps': 20, 'use_wpe': True, 'wpe_mode': 'once', 'use_rope': False}

  0%|          | 0/100001 [00:00<?, ?it/s]
loss=2.2107 rec=2.2054 kl=0.5324 n_points=2:   0%|          | 0/100001 [00:01<?, ?it/s]
loss=2.2107 rec=2.2054 kl=0.5324 n_points=2:   0%|          | 1/100001 [00:01<41:30:12,  1.49s/it]
loss=1.8229 rec=1.8177 kl=0.5242 n_points=2:   0%|          | 1/100001 [00:01<41:30:12,  1.49s/it]
loss=0.0016 rec=0.0013 kl=0.0280 n_points=2:   0%|          | 45/100001 [00:04<1:48:33, 15.35it/s]
loss=0.0016 rec=0.0013 kl=0.0280 n_points=2:   0%|          | 47/100001 [00:04<1:46:08, 15.69it/s]
loss=0.0016 rec=0.0013 kl=0.0295 n_points=2:   0%|          | 47/100001 [00:04<1:46:08, 15.69it/s]
loss=0.0015 rec=0.0012 kl=0.0299 n_points=2:   0%|          | 47/100001 [00:04<1:46:08, 15.69it/s]
loss=0.0015 rec=0.0012 kl=0.0299 n_points=2:   0%|          | 49/100001 [00:04<1:46:02, 15.71it/s]
loss=0.0015 rec=0.0012 kl=0.0306 n_points=2:   0%|          | 49/100001 [00:04<1:46:02, 15.71it/s]
loss=0.0015 rec=0.0012 kl=0.0286 n_points=2:   0%|          | 49/100001 [00:04<1:46:02, 15.71it/s]
loss=0.0015 rec=0.0012 kl=0.0286 n_points=2:   0%|          | 51/100001 [00:04<1:50:16, 15.11it/s]
loss=0.0014 rec=0.0011 kl=0.0269 n_points=2:   0%|          | 51/100001 [00:04<1:50:16, 15.11it/s]
loss=0.0014 rec=0.0011 kl=0.0248 n_points=2:   0%|          | 51/100001 [00:04<1:50:16, 15.11it/s]
loss=0.0014 rec=0.0011 kl=0.0248 n_points=2:   0%|          | 53/100001 [00:04<1:51:29, 14.94it/s]
loss=0.0013 rec=0.0011 kl=0.0221 n_points=2:   0%|          | 53/100001 [00:04<1:51:29, 14.94it/s]
loss=0.0013 rec=0.0011 kl=0.0193 n_points=2:   0%|          | 53/100001 [00:04<1:51:29, 14.94it/s]
loss=0.0013 rec=0.0011 kl=0.0193 n_points=2:   0%|          | 55/100001 [00:04<1:48:53, 15.30it/s]
loss=0.0012 rec=0.0011 kl=0.0167 n_points=2:   0%|          | 55/100001 [00:05<1:48:53, 15.30it/s]
